name*city*height*weight*position*team
Townsend, Clyde*Bradenton, FL (Braden River HS)*5-9*156*WR*lsu
Traore, Badara*Boston, MA (Matignon HS / Nassau CC (NY) / ASA JC (NY))*6-6*310*OL*lsu
Turner, Charles*Canton, OH (IMG Academy (FL))*6-4*245*OL*lsu
Vincent Jr., Kary*Port Arthur, TX (Memorial HS)*5-10*175*DB*lsu
Von Rosenberg, Zach*Lake Charles, LA (Zachary HS)*6-5*250*P*lsu
Ward, Jay*Moultrie, GA (Colquitt County HS)*6-2*167*DB*lsu
Williams, Josh*Houston, TX (Kinkaid School)*5-10*192*RB*lsu
Williams, Michael*Baton Rouge, LA (Dunham School / Texas)*6-2*275*DL*lsu
Wire, Cameron*Gonzales, LA (East Ascension HS)*6-7*294*OL*lsu
York, Cade*Prosper, TX (Prosper HS)*6-2*189*K*lsu
