name*city*height*weight*position*team
Traynham, Tyler*Spartanburg, SC (Byrnes HS / Limestone / Wofford)*5-5*165*RB*clemson
Trotter, Mason*Spartanburg, SC (Dorman HS)*6-3*270*OL*clemson
Turner, Elijah*Pickens, SC (Seneca HS / Presbyterian)*6-0*190*DB*clemson
Turner, Nolan*Vestavia Hills, AL (Vestavia Hills HS)*6-2*190*DB*clemson
Upshaw, Regan*Bradenton, FL (Alonso HS)*6-2*220*LB*clemson
Venables, Jake*Clemson, SC (D.W. Daniel HS)*6-2*225*LB*clemson
Vinson, Blake*Ocala, FL (North Marion HS)*6-5*300*OL*clemson
Wallace, K'Von*Richmond, VA (Highland Springs HS)*6-1*190*DB*clemson
Walliser, Tristan*Clover, SC (Clover HS)*6-3*225*DL*clemson
Weitz, Jonathan*Charleston, SC (Porter-Gaud School)*6-0*175*K*clemson
Williams, Greg*Swansea, SC (Swansea HS)*6-4*235*DL*clemson
Williams, Jordan*Virginia Beach, VA (Cox HS)*6-5*260*DL*clemson
Williams, LeAnthony*Atlanta, GA (Roswell HS)*6-0*175*DB*clemson
Zanders, Lannden*Shelby, NC (Crest HS)*6-1*190*DB*clemson
