,city,admin_name,lat,lng,id,first_name,last_name,weight,height,jersey,year,position,home_country
91,New Roads,LA,30.6959,-91.4537,4362706,Stephen,Guidry,200.0,76.0,1.0,4.0,WR,USA
92,Philadelphia,MS,32.7761,-89.1221,4035376,Greg,Eiland,335.0,80.0,55.0,4.0,OL,USA
93,Pinson,AL,33.7057,-86.6674,3917296,Kendell,Jones,300.0,76.0,92.0,4.0,DT,USA
94,Columbia,MS,31.2564,-89.8266,4568067,Fred,Peters,210.0,70.0,38.0,4.0,S,USA
95,Stone Mountain,GA,33.8034,-84.1724,3916129,Isaiah,Zuber,190.0,72.0,12.0,4.0,WR,USA
96,Stone Mountain,GA,33.8034,-84.1724,3915186,Chauncey,Rivers,275.0,75.0,5.0,4.0,DE,USA
97,Pontotoc,MS,34.2532,-89.0091,4362646,Cole,Smith,305.0,75.0,57.0,2.0,OL,USA
98,West Point,MS,33.6064,-88.6571,4362708,Marcus,Murphy,200.0,73.0,7.0,3.0,S,USA
99,Spanish Fort,AL,30.7257,-87.8601,4575210,Conner,Hegan,180.0,71.0,36.0,1.0,RB,USA
100,Harvest,AL,34.8558,-86.7521,4575211,Nick,Jarrett,210.0,75.0,47.0,2.0,LB,USA
