,city,admin_name,lat,lng,id,first_name,last_name,weight,height,jersey,year,position,home_country
22,Fort Lauderdale,FL,26.1412,-80.1464,4372414,Elijah,Moore,185.0,69.0,8.0,3.0,WR,USA
23,Springfield,IL,39.771,-89.6537,4426498,Nick,Broeker,305.0,76.0,64.0,2.0,OL,USA
24,Tuscaloosa,AL,33.2348,-87.5266,4372415,Jacquez,Jones,235.0,72.0,32.0,3.0,LB,USA
25,Metairie,LA,29.9976,-90.1781,4259920,Peyton,Cox,315.0,72.0,65.0,3.0,OL,USA
26,West Palm Beach,FL,26.7469,-80.1316,4372418,Keidron,Smith,195.0,74.0,20.0,3.0,DB,USA
27,Allen,TX,33.1088,-96.6735,4567243,Grant,Tisdale,215.0,72.0,14.0,1.0,QB,USA
28,Allen,TX,33.1088,-96.6735,4047655,Jaylon,Jones,195.0,71.0,31.0,4.0,DB,USA
29,Hattiesburg,MS,31.3074,-89.317,4567246,Snoop,Conner,215.0,70.0,24.0,2.0,RB,USA
30,Hattiesburg,MS,31.3074,-89.317,4426494,John Rhys,Plumlee,200.0,72.0,10.0,2.0,QB,USA
31,Hattiesburg,MS,31.3074,-89.317,4259910,Isaiah,Woullard,205.0,69.0,26.0,3.0,RB,USA
32,Hattiesburg,MS,31.3074,-89.317,4047668,Luke,Logan,180.0,71.0,92.0,4.0,PK,USA
33,Hattiesburg,MS,31.3074,-89.317,4567248,Campbell,Klein,220.0,71.0,29.0,1.0,RB,USA
34,Franklin,TN,35.9216,-86.8525,4047669,Isaac,Way,176.0,69.0,95.0,3.0,PK,USA
35,Jonesboro,AR,35.8211,-90.6793,4575222,Darius,Thomas,340.0,78.0,74.0,1.0,OL,USA
36,Eden Prairie,MN,44.8488,-93.4595,4047670,Mac,Brown,205.0,75.0,96.0,4.0,P,USA
37,Marietta,GA,33.9532,-84.5422,4047664,Ty,Reyes,235.0,73.0,88.0,3.0,DE,USA
38,Bentonville,AR,36.355,-94.2299,4381287,Andrew,Griffith,220.0,71.0,48.0,2.0,LB,USA
39,Pascagoula,MS,30.3665,-88.5507,4575224,Jakwaize,Walker,200.0,68.0,34.0,3.0,DB,USA
40,Niagara Falls,NY,43.0921,-79.0147,4427694,Casey,Kelly,240.0,75.0,81.0,1.0,TE,USA
41,Biloxi,MS,30.4422,-88.9512,4066101,Kweisi,Fountain,207.0,73.0,39.0,4.0,DB,USA
42,Sayreville,NJ,40.4656,-74.3237,4035290,Myles,Hartsfield,211.0,71.0,15.0,4.0,DB,USA
