,city,admin_name,lat,lng,id,first_name,last_name,weight,height,jersey,year,position,home_country,team,color,conference
79,Acworth,GA,34.0565,-84.6709,4575126,Jake,Wilson,175.0,69.0,46.0,1.0,DB,USA,Georgia,#CC0000,SEC
80,Oxford,AL,33.5966,-85.869,4426336,Clay,Webb,290.0,75.0,60.0,1.0,OL,USA,Georgia,#CC0000,SEC
81,Laurinburg,NC,34.7596,-79.4781,4361777,Zamir,White,215.0,72.0,3.0,2.0,RB,USA,Georgia,#CC0000,SEC
82,Suwanee,GA,34.0507,-84.0687,4379415,Payne,Walker,249.0,74.0,47.0,2.0,LS,USA,Georgia,#CC0000,SEC
83,Suwanee,GA,34.0507,-84.0687,4361786,Warren,Ericson,305.0,76.0,50.0,2.0,OL,USA,Georgia,#CC0000,SEC
84,Fayetteville,GA,33.45,-84.4709,4053796,Ian,Donald-McIntyre,207.0,70.0,33.0,3.0,RB,USA,Georgia,#CC0000,SEC
85,Americus,GA,32.0736,-84.2249,4035001,Tyler,Clark,300.0,76.0,52.0,4.0,DL,USA,Georgia,#CC0000,SEC
86,Norcross,GA,33.9379,-84.2065,4259558,Robert,Beal Jr.,244.0,76.0,33.0,3.0,LB,USA,Georgia,#CC0000,SEC
87,Norcross,GA,33.9379,-84.2065,4379396,Jake,Camarda,180.0,74.0,90.0,3.0,PK,USA,Georgia,#CC0000,SEC
88,Norcross,GA,33.9379,-84.2065,4575116,Ty,James,190.0,72.0,32.0,1.0,WR,USA,Georgia,#CC0000,SEC
89,Powder Springs,GA,33.866,-84.6839,4035018,Tyler,Simmons,201.0,72.0,87.0,4.0,WR,USA,Georgia,#CC0000,SEC
90,Powder Springs,GA,33.866,-84.6839,4361782,Hugh,Nelson,198.0,74.0,39.0,2.0,DB,USA,Georgia,#CC0000,SEC
91,College Park,GA,33.6364,-84.464,3915578,Jes,Sutherland,190.0,74.0,22.0,4.0,QB,USA,Georgia,#CC0000,SEC
92,Buford,GA,34.1187,-83.9915,4575125,JC,Vega,305.0,76.0,64.0,1.0,OL,USA,Georgia,#CC0000,SEC
93,Covington,GA,33.6049,-83.8465,4259561,Eric,Stokes,185.0,73.0,27.0,3.0,DB,USA,Georgia,#CC0000,SEC
94,Thomaston,GA,32.8908,-84.3272,4035012,David,Marshall,274.0,75.0,51.0,4.0,LB,USA,Georgia,#CC0000,SEC
95,Thomaston,GA,32.8908,-84.3272,4426349,Travon,Walker,290.0,77.0,44.0,2.0,DL,USA,Georgia,#CC0000,SEC
